adslev;56.099.214;9.993.994
alling;5.611.333;9.729.168
alrø;558.566.632;100.723.869
astrup;56.067.845;10.097.948
balle;561.958.874;9.519.672
beder;560.595.675;102.151.085
bjerager;559.527.183;102.134.188
blegind;56.067.348;100.698.751
borum;561.870.827;100.073.858
brabrand;561.519.935;101.002.311
bryrup;560.253.521;95.101.287
dallerup;561.728.617;96.387.536
dover;56.099.943;97.837.443
egå;562.168.506;102.621.219
elev;56.241.636;101.951.461
elsted;562.456.357;102.266.414
falling;559.102.306;101.338.812
foldby;56.250.553;100.189.242
framlev;561.575.006;10.009.493
fruering;560.337.088;99.890.705
funder;561.556.078;94.377.132
fårup;565.040.517;98.093.602
galten;561.587.664;99.014.033
gjern;562.300.891;97.377.936
gosmer;55.930.107;101.897.761
granslev;563.050.572;98.081.512
grundfør;562.688.306;100.999.225
gylling;558.903.533;101620478
gødvad;561.921.723;95.913.014
hadsten;563.203.932;100.245.997
haldum;56.279.527;100.402.081
halling;561.322.717;98.772.749
hammel;56.255.449;98.602.881
harlev;561.330.736;100.083.751
hasle;56.169.726;101.584.891
haurum;563.009.451;98.639.664
hjortshøj;562.523.366;102.624.438
holme;561.143.764;101.721.571
houlbjerg;563.473.529;98.733.801
hundslund;559.152.892;1.004.660
hvilsted;560.072.355;100.533.849
hylke;559.954.263;99.319.128
hørning;56.085.465;100.359.881
kasted;562.090.885;101.284.966
kolt;561.093.077;100.682.843
kragelund;561.943.883;94.095.152
lading;563.115.868;98.205.493
lemming;562.362.049;95.436.877
linå;561.551.717;96.879.101
lisbjerg;56.221.357;101.659.201
lyngby;561.715.003;100.125.658
lyngå;562.841.068;9.743.373
låsby;561.192.482;95.208.822
malling;560.396.287;101.919.186
mejlby;563.014.716;102.110.422
mesing;56.075.721;99.365.811
mårslet;560.686.569;101.575.208
nølev;559.954.685;101.868.786
odder;559.732.966;101.493.534
ormslev;56.126.813;100.487.833
ovsted;559.722.422;9.853.061
randlev;559.439.075;101.836.898
rye;558.512.163;81.498.859
røgen;562.078.167;98.059.487
sabro;562.165.472;100.345.816
saksild;55.973.793;10.231.998
sall;562.788.007;98.224.039
sejling;562.185.524;95.159.603
serup;56.244.712;9.485.510
sinding;562.108.562;85.309.602
sjelle;561.832.227;99.287.639
skanderborg købstad;560.307.176;9.885.147
skanderup;560.273.495;99.010.352
skannerup;560.273.376;96.159.483
skejby;561.998.989;101.721.912
skivholme;561.775.032;98.759.799
skjød;563.000.803;9.927.482
skorup;562.787.863;97.411.093
skovby;561.569.652;99.442.243
skødstrup;562.629.033;103.064.036
skørring;563.635.309;102.742.551
sporup;56.226.367;98.217.312
spørring;562.984.583;101.447.515
stilling;560.648.898;99.957.608
stjær;561.172.713;99.515.347
storring;56.136.627;99.384.759
svostrup;56.212.242;91.160.272
søby;563.527.906;102.357.808
søften;562.378.519;100.830.119
them;560.945.307;9.546.728
tilst;561.929.991;101.087.329
tiset;560.242.379;100.574.594
todbjerg;56.268.403;102.080.941
torrild;559.802.329;100.477.696
tranbjerg;560.490.257;100.197.502
trige;562.526.373;101.531.689
tulstrup;560.281.918;101.029.756
tunø;559.560.112;103.767.185
tvilum;562.498.904;96.192.078
tåning;560.119.858;98.422.133
vejlby;561.951.472;102.092.077
veng;56.111.561;98.783.691
viby;561.286.007;101.629.811
vinding;560.462.459;95.108.907
vitten;562.909.141;99.964.891
vitved;56.048.753;100.388.541
voldby;562.358.006;98.763.251
vrads;560.403.035;94.484.994
ølsted;560.023.187;82.812.202
ørting;55.927.863;101.411.631
åby;56.151.495;101.488.031
århus købstad;561.570.207;101.918.101
årslev;563.794.218;99.402.478
